,dataset,shot,a_type,a_init,combined_way,train_mode,spearman,zeroshot_sr,num_mutations
0,GDIA_HUMAN_Silverstein_2021,64,position-specific,-1.0,logits,full,0.4802247028952321,0.4964452324155843,234
1,GDIA_HUMAN_Silverstein_2021,96,position-specific,-1.0,logits,full,0.4816618656467203,0.4957300153040019,232
2,GDIA_HUMAN_Silverstein_2021,64,single,-1.0,scores,a,0.4803118043009363,0.4964452324155843,234
3,GDIA_HUMAN_Silverstein_2021,64,single,0.1,logits,full,0.45872564087434825,0.4964452324155843,234
4,GDIA_HUMAN_Silverstein_2021,96,context-specific,-1.0,scores,a,0.44443164459629436,0.4964452324155843,234
5,GDIA_HUMAN_Silverstein_2021,64,context-specific,0.1,logits,full,0.44907892604903354,0.4964452324155843,234
6,GDIA_HUMAN_Silverstein_2021,64,position-specific,-1.0,logits,a,0.48015633297462545,0.4964452324155843,234
7,GDIA_HUMAN_Silverstein_2021,96,context-specific,0.1,logits,full,0.44725020481415373,0.4957300153040019,232
8,GDIA_HUMAN_Silverstein_2021,96,single,0.1,logits,full,0.45872564087434825,0.4964452324155843,234
9,GDIA_HUMAN_Silverstein_2021,64,position-specific,0.1,scores,full,0.45872564087434825,0.4964452324155843,234
10,GDIA_HUMAN_Silverstein_2021,64,context-specific,0.1,scores,a,0.44443164459629436,0.4964452324155843,234
11,GDIA_HUMAN_Silverstein_2021,64,position-specific,0.1,logits,full,0.45845684406319637,0.4964452324155843,234
12,GDIA_HUMAN_Silverstein_2021,96,none,0.1,scores,full,0.46056600928519725,0.4964452324155843,234
13,GDIA_HUMAN_Silverstein_2021,64,single,0.1,scores,a,0.45872564087434825,0.4964452324155843,234
14,GDIA_HUMAN_Silverstein_2021,64,single,-1.0,scores,full,0.480208781132899,0.4964452324155843,234
15,GDIA_HUMAN_Silverstein_2021,96,single,0.1,scores,full,0.4599095213955713,0.4957300153040019,232
16,GDIA_HUMAN_Silverstein_2021,96,context-specific,-1.0,logits,a,0.4446067839819579,0.4964452324155843,234
17,GDIA_HUMAN_Silverstein_2021,64,single,0.1,scores,full,0.45872564087434825,0.4964452324155843,234
18,GDIA_HUMAN_Silverstein_2021,96,single,-1.0,scores,full,0.4816051663619481,0.4957300153040019,232
19,GDIA_HUMAN_Silverstein_2021,64,context-specific,0.1,logits,a,0.4446067839819579,0.4964452324155843,234
20,GDIA_HUMAN_Silverstein_2021,64,context-specific,-1.0,logits,full,0.44907892604903354,0.4964452324155843,234
21,GDIA_HUMAN_Silverstein_2021,96,position-specific,0.1,scores,full,0.4597961228260269,0.4957300153040019,232
22,GDIA_HUMAN_Silverstein_2021,96,context-specific,-1.0,logits,full,0.44725020481415373,0.4957300153040019,232
23,GDIA_HUMAN_Silverstein_2021,64,context-specific,0.1,scores,full,0.44910889642518975,0.4964452324155843,234
24,GDIA_HUMAN_Silverstein_2021,64,none,0.1,scores,full,0.46056600928519725,0.4964452324155843,234
25,GDIA_HUMAN_Silverstein_2021,96,single,-1.0,logits,full,0.480208781132899,0.4964452324155843,234
26,GDIA_HUMAN_Silverstein_2021,64,context-specific,-1.0,scores,a,0.44443164459629436,0.4964452324155843,234
27,GDIA_HUMAN_Silverstein_2021,96,position-specific,-1.0,scores,full,0.4816791637335999,0.4957300153040019,232
28,GDIA_HUMAN_Silverstein_2021,64,single,-1.0,logits,a,0.4803118043009363,0.4964452324155843,234
29,GDIA_HUMAN_Silverstein_2021,64,position-specific,-1.0,scores,a,0.48036425245920994,0.4964452324155843,234
30,GDIA_HUMAN_Silverstein_2021,96,context-specific,0.1,scores,full,0.44747411893876243,0.4957300153040019,232
31,GDIA_HUMAN_Silverstein_2021,96,single,0.1,scores,a,0.45872564087434825,0.4964452324155843,234
32,GDIA_HUMAN_Silverstein_2021,96,position-specific,-1.0,scores,a,0.48036425245920994,0.4964452324155843,234
33,GDIA_HUMAN_Silverstein_2021,64,position-specific,0.1,logits,a,0.45845684406319637,0.4964452324155843,234
34,GDIA_HUMAN_Silverstein_2021,64,position-specific,0.1,scores,a,0.45872564087434825,0.4964452324155843,234
35,GDIA_HUMAN_Silverstein_2021,96,position-specific,0.1,logits,full,0.45953088549387244,0.4957300153040019,232
36,GDIA_HUMAN_Silverstein_2021,64,position-specific,-1.0,scores,full,0.4802874533703093,0.4964452324155843,234
37,GDIA_HUMAN_Silverstein_2021,96,single,-1.0,scores,a,0.4803118043009363,0.4964452324155843,234
38,GDIA_HUMAN_Silverstein_2021,96,context-specific,0.1,logits,a,0.4446067839819579,0.4964452324155843,234
39,GDIA_HUMAN_Silverstein_2021,64,single,-1.0,logits,full,0.480208781132899,0.4964452324155843,234
40,GDIA_HUMAN_Silverstein_2021,96,single,0.1,logits,a,0.45872564087434825,0.4964452324155843,234
41,GDIA_HUMAN_Silverstein_2021,96,position-specific,0.1,scores,a,0.45872564087434825,0.4964452324155843,234
42,GDIA_HUMAN_Silverstein_2021,96,position-specific,0.1,logits,a,0.45845684406319637,0.4964452324155843,234
43,GDIA_HUMAN_Silverstein_2021,96,single,-1.0,logits,a,0.4803118043009363,0.4964452324155843,234
44,GDIA_HUMAN_Silverstein_2021,96,context-specific,-1.0,scores,full,0.44910889642518975,0.4964452324155843,234
45,GDIA_HUMAN_Silverstein_2021,64,single,0.1,logits,a,0.45872564087434825,0.4964452324155843,234
46,GDIA_HUMAN_Silverstein_2021,64,context-specific,-1.0,logits,a,0.4446067839819579,0.4964452324155843,234
47,GDIA_HUMAN_Silverstein_2021,96,position-specific,-1.0,logits,a,0.48015633297462545,0.4964452324155843,234
48,GDIA_HUMAN_Silverstein_2021,96,context-specific,0.1,scores,a,0.44443164459629436,0.4964452324155843,234
49,GDIA_HUMAN_Silverstein_2021,64,context-specific,-1.0,scores,full,0.44255729278218037,0.49142604022663994,231
50,R1AB_SARS2_Flynn_2022,64,position-specific,-1.0,logits,full,0.39896589646721164,-0.062247915691638435,1146
51,R1AB_SARS2_Flynn_2022,96,position-specific,-1.0,logits,full,0.39909758084541974,-0.061260758362336146,1152
52,R1AB_SARS2_Flynn_2022,64,single,-1.0,scores,a,0.4009850146921685,-0.062247915691638435,1146
53,R1AB_SARS2_Flynn_2022,64,single,0.1,logits,full,-0.041314297417443656,-0.062247915691638435,1146
54,R1AB_SARS2_Flynn_2022,96,context-specific,-1.0,scores,a,0.2845057343042104,-0.062247915691638435,1146
55,R1AB_SARS2_Flynn_2022,64,context-specific,0.1,logits,full,0.2618846672009341,-0.062247915691638435,1146
56,R1AB_SARS2_Flynn_2022,64,position-specific,-1.0,logits,a,0.40033473984034695,-0.062247915691638435,1146
57,R1AB_SARS2_Flynn_2022,96,context-specific,0.1,logits,full,0.1425008014108363,-0.061260758362336146,1152
58,R1AB_SARS2_Flynn_2022,96,single,0.1,logits,full,-0.041314297417443656,-0.062247915691638435,1146
59,R1AB_SARS2_Flynn_2022,64,position-specific,0.1,scores,full,-0.11452790568793741,-0.062247915691638435,1146
60,R1AB_SARS2_Flynn_2022,64,context-specific,0.1,scores,a,0.2845057343042104,-0.062247915691638435,1146
61,R1AB_SARS2_Flynn_2022,64,position-specific,0.1,logits,full,-0.11703930761325679,-0.062247915691638435,1146
62,R1AB_SARS2_Flynn_2022,96,none,0.1,scores,full,-0.05226275213354231,-0.062247915691638435,1146
