,dataset,shot,a_type,a_init,combined_way,train_mode,spearman,zeroshot_sr,num_mutations
0,GDIA_HUMAN_Silverstein_2021,96,position-specific,-1.0,logits,full,0.48295294369971187,0.4964452324155843,234
1,GDIA_HUMAN_Silverstein_2021,96,context-specific,-1.0,scores,a,0.4415226449606218,0.4964452324155843,234
2,GDIA_HUMAN_Silverstein_2021,96,context-specific,0.1,logits,full,0.44959404188922014,0.4964452324155843,234
3,GDIA_HUMAN_Silverstein_2021,96,single,0.1,logits,full,0.4600096841777956,0.4964452324155843,234
4,GDIA_HUMAN_Silverstein_2021,96,none,0.1,scores,full,0.4625243860521617,0.4964452324155843,234
5,GDIA_HUMAN_Silverstein_2021,96,single,0.1,scores,full,0.4600096841777956,0.4964452324155843,234
6,GDIA_HUMAN_Silverstein_2021,96,context-specific,-1.0,logits,a,0.44134656900070346,0.4964452324155843,234
7,GDIA_HUMAN_Silverstein_2021,96,single,-1.0,scores,full,0.4826110940966789,0.4964452324155843,234
8,GDIA_HUMAN_Silverstein_2021,96,position-specific,0.1,scores,full,0.4601623457813418,0.4964452324155843,234
9,GDIA_HUMAN_Silverstein_2021,96,context-specific,-1.0,logits,full,0.44959404188922014,0.4964452324155843,234
10,GDIA_HUMAN_Silverstein_2021,96,single,-1.0,logits,full,0.4826110940966789,0.4964452324155843,234
11,GDIA_HUMAN_Silverstein_2021,96,position-specific,-1.0,scores,full,0.48259891863136534,0.4964452324155843,234
12,GDIA_HUMAN_Silverstein_2021,96,context-specific,0.1,scores,full,0.4495172428003196,0.4964452324155843,234
13,GDIA_HUMAN_Silverstein_2021,96,single,0.1,scores,a,0.4597961452476818,0.4964452324155843,234
14,GDIA_HUMAN_Silverstein_2021,96,position-specific,-1.0,scores,a,0.48259891863136534,0.4964452324155843,234
15,GDIA_HUMAN_Silverstein_2021,96,position-specific,0.1,logits,full,0.4596903123568798,0.4964452324155843,234
16,GDIA_HUMAN_Silverstein_2021,96,single,-1.0,scores,a,0.4826110940966789,0.4964452324155843,234
17,GDIA_HUMAN_Silverstein_2021,96,context-specific,0.1,logits,a,0.44134656900070346,0.4964452324155843,234
18,GDIA_HUMAN_Silverstein_2021,96,single,0.1,logits,a,0.4597961452476818,0.4964452324155843,234
19,GDIA_HUMAN_Silverstein_2021,96,position-specific,0.1,scores,a,0.4601623457813418,0.4964452324155843,234
20,GDIA_HUMAN_Silverstein_2021,96,position-specific,0.1,logits,a,0.4602560032068303,0.4964452324155843,234
21,GDIA_HUMAN_Silverstein_2021,96,single,-1.0,logits,a,0.4826110940966789,0.4964452324155843,234
22,GDIA_HUMAN_Silverstein_2021,96,context-specific,-1.0,scores,full,0.4495172428003196,0.4964452324155843,234
23,GDIA_HUMAN_Silverstein_2021,96,position-specific,-1.0,logits,a,0.48295294369971187,0.4964452324155843,234
24,GDIA_HUMAN_Silverstein_2021,96,context-specific,0.1,scores,a,0.4415226449606218,0.4964452324155843,234
25,R1AB_SARS2_Flynn_2022,96,position-specific,-1.0,logits,full,0.39149959367837983,-0.062247915691638435,1146
26,R1AB_SARS2_Flynn_2022,96,context-specific,-1.0,scores,a,0.27115955028505023,-0.062247915691638435,1146
27,R1AB_SARS2_Flynn_2022,96,context-specific,0.1,logits,full,0.32617794062092076,-0.062247915691638435,1146
28,R1AB_SARS2_Flynn_2022,96,single,0.1,logits,full,-0.09013827532599833,-0.062247915691638435,1146
29,R1AB_SARS2_Flynn_2022,96,none,0.1,scores,full,-0.007994820301290135,-0.062247915691638435,1146
30,R1AB_SARS2_Flynn_2022,96,single,0.1,scores,full,-0.09013274198799966,-0.062247915691638435,1146
31,R1AB_SARS2_Flynn_2022,96,context-specific,-1.0,logits,a,0.2681879444654744,-0.062247915691638435,1146
32,R1AB_SARS2_Flynn_2022,96,single,-1.0,scores,full,0.36936057678941236,-0.062247915691638435,1146
33,R1AB_SARS2_Flynn_2022,96,position-specific,0.1,scores,full,-0.09171134989918522,-0.062247915691638435,1146
34,R1AB_SARS2_Flynn_2022,96,context-specific,-1.0,logits,full,0.32617794062092076,-0.062247915691638435,1146
35,R1AB_SARS2_Flynn_2022,96,single,-1.0,logits,full,0.37139430573754295,-0.062247915691638435,1146
36,R1AB_SARS2_Flynn_2022,96,position-specific,-1.0,scores,full,0.3676940095341328,-0.062247915691638435,1146
37,R1AB_SARS2_Flynn_2022,96,context-specific,0.1,scores,full,0.33081425197470604,-0.062247915691638435,1146
38,R1AB_SARS2_Flynn_2022,96,single,0.1,scores,a,-0.08868946565105092,-0.062247915691638435,1146
39,R1AB_SARS2_Flynn_2022,96,position-specific,-1.0,scores,a,0.3674470703730007,-0.062247915691638435,1146
40,R1AB_SARS2_Flynn_2022,96,position-specific,0.1,logits,full,-0.09315994828673066,-0.062247915691638435,1146
41,R1AB_SARS2_Flynn_2022,96,single,-1.0,scores,a,0.3673908440047491,-0.062247915691638435,1146
42,R1AB_SARS2_Flynn_2022,96,context-specific,0.1,logits,a,0.2681879444654744,-0.062247915691638435,1146
43,R1AB_SARS2_Flynn_2022,96,single,0.1,logits,a,-0.08738268097577243,-0.062247915691638435,1146
44,R1AB_SARS2_Flynn_2022,96,position-specific,0.1,scores,a,-0.09163669368830553,-0.062247915691638435,1146
45,R1AB_SARS2_Flynn_2022,96,position-specific,0.1,logits,a,-0.09317042893917915,-0.062247915691638435,1146
46,R1AB_SARS2_Flynn_2022,96,single,-1.0,logits,a,0.37042165414897776,-0.062247915691638435,1146
47,R1AB_SARS2_Flynn_2022,96,context-specific,-1.0,scores,full,0.33081425197470604,-0.062247915691638435,1146
48,R1AB_SARS2_Flynn_2022,96,position-specific,-1.0,logits,a,0.3699044345486284,-0.062247915691638435,1146
49,R1AB_SARS2_Flynn_2022,96,context-specific,0.1,scores,a,0.27115955028505023,-0.062247915691638435,1146
50,NRAM_I33A0_Jiang_2016,96,position-specific,-1.0,logits,full,0.33914976382328427,0.42739649902750776,60
51,NRAM_I33A0_Jiang_2016,96,context-specific,-1.0,scores,a,0.3320922478466241,0.42739649902750776,60
52,NRAM_I33A0_Jiang_2016,96,context-specific,0.1,logits,full,0.4718532925812727,0.42739649902750776,60
53,NRAM_I33A0_Jiang_2016,96,single,0.1,logits,full,0.24656849124756883,0.42739649902750776,60
54,NRAM_I33A0_Jiang_2016,96,none,0.1,scores,full,0.2550152820227842,0.42739649902750776,60
55,NRAM_I33A0_Jiang_2016,96,single,0.1,scores,full,0.24656849124756883,0.42739649902750776,60
